TermId	 GeneSize	Gene
183	2	AT1G31180 AT1G30510
184	2	AT4G33520 AT3G01480
185	2	AT1G27510 AT2G40400
186	2	AT4G33010 AT3G08920
187	3	AT1G50450 AT1G65260 AT1G74880
188	3	AT2G41680 AT3G17830 AT4G36810
189	3	AT2G29500 AT2G20260 AT1G03160
190	3	AT1G73530 AT4G31390 AT1G03600
191	4	AT3G56040 AT1G79040 AT1G44575 AT1G71500
192	4	AT1G22020 AT5G21430 AT3G21055 AT3G15110
193	6	AT5G02160 AT1G78915 AT5G62720 AT3G53560 AT2G21160 AT2G37230
194	10	AT1G20810 AT1G21750 AT2G30695 AT2G37400 AT5G35170 AT3G15840 AT1G03090 AT3G25480 AT3G15360 AT2G21530
195	10	AT3G46780 AT1G15140 AT1G55370 AT4G16155 AT4G13010 AT1G18730 AT1G51350 AT5G59250 AT1G50460 AT2G24020
196	18	AT2G01918 AT2G26340 AT3G10130 AT1G23740 AT2G42975 AT1G79450 AT1G16790 AT1G76760 AT4G24750 AT4G39730 AT4G39960 AT5G53490 AT1G54790 AT5G52780 AT5G23890 AT1G05385 AT1G03850 AT4G01900
197	68	AT2G17630 AT3G10470 AT4G13670 AT4G31560 AT5G13120 AT5G52970 AT1G07510 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT2G43010 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT4G35770 AT3G60370 AT5G16660 AT3G58010 AT4G38380 AT2G40760 AT1G54050 AT3G22690 AT2G40100 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G51110 AT2G26800 AT2G30950 AT5G20140 AT5G01500 AT5G08540 AT3G55330 AT1G52220 AT1G79230 AT3G47060 AT2G44990 AT1G67700 AT5G16150 AT5G15250 AT5G03455 AT2G41330 AT3G26580 AT3G57680 AT1G67280 AT1G06690
198	2	AT4G28025 AT2G22360
199	2	AT4G01050 AT3G24590
200	4	AT2G41680 AT3G17830 AT3G47450 AT4G36810
201	4	AT1G31180 AT1G30510 AT1G27510 AT2G40400
202	4	AT2G29500 AT1G03160 AT2G20260 AT5G53170
203	14	AT4G16155 AT3G46780 AT1G50460 AT4G13010 AT1G51350 AT1G15140 AT1G18730 AT2G24020 AT1G55370 AT5G59250 AT5G21430 AT1G22020 AT3G21055 AT3G15110
204	19	AT2G01918 AT2G26340 AT3G10130 AT1G23740 AT2G42975 AT1G79450 AT1G16790 AT1G76760 AT4G39730 AT4G24750 AT4G39960 AT5G53490 AT1G54790 AT4G24930 AT5G52780 AT5G23890 AT1G05385 AT1G03850 AT4G01900
205	71	AT2G29500 AT1G03160 AT2G20260 AT2G17630 AT4G13670 AT3G10470 AT4G31560 AT5G13120 AT1G07510 AT5G52970 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT2G43010 AT5G39830 AT1G74710 AT2G20270 AT4G35770 AT1G66670 AT3G60370 AT5G16660 AT3G58010 AT4G38380 AT2G40760 AT1G54050 AT3G22690 AT2G40100 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT1G67700 AT1G51110 AT2G26800 AT2G30950 AT5G20140 AT5G01500 AT5G08540 AT3G55330 AT1G52220 AT1G79230 AT3G47060 AT2G44990 AT5G19370 AT5G16150 AT5G15250 AT5G03455 AT2G41330 AT3G26580 AT3G57680 AT1G67280 AT1G06690
206	78	AT4G16155 AT3G46780 AT1G50460 AT4G13010 AT1G51350 AT1G15140 AT1G18730 AT2G24020 AT1G55370 AT5G59250 AT2G17630 AT3G10470 AT4G13670 AT4G31560 AT5G13120 AT1G07510 AT5G52970 AT1G75690 AT4G20820 AT1G42960 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT2G43010 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT4G35770 AT3G60370 AT5G16660 AT3G58010 AT4G38380 AT2G40760 AT1G54050 AT3G22690 AT2G40100 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G51110 AT2G26800 AT2G30950 AT5G20140 AT5G01500 AT5G08540 AT3G55330 AT1G79230 AT1G52220 AT3G47060 AT2G44990 AT1G67700 AT5G16150 AT5G15250 AT5G03455 AT2G41330 AT3G26580 AT3G57680 AT1G67280 AT1G06690
207	2	AT4G27700 AT1G14590
208	3	AT4G33010 AT3G08920 AT5G53170
209	4	AT4G25050 AT1G73530 AT4G31390 AT1G03600
210	5	AT5G52440 AT5G21430 AT1G22020 AT3G21055 AT3G15110
211	19	AT2G01918 AT2G26340 AT3G10130 AT1G23740 AT2G42975 AT1G79450 AT1G16790 AT1G76760 AT4G39730 AT4G24750 AT4G39960 AT5G53490 AT1G54790 AT5G52780 AT5G23890 AT4G01900 AT1G05385 AT1G03850 AT4G37925
212	72	AT2G17630 AT3G10470 AT4G13670 AT5G20140 AT4G31560 AT5G52970 AT1G07510 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT2G26800 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT5G13120 AT2G43010 AT5G16660 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT3G60370 AT4G35770 AT3G58010 AT5G08540 AT4G19830 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT2G40100 AT4G39460 AT5G15250 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G17850 AT1G29920 AT2G35040 AT3G28850 AT1G72640 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G67700 AT1G67280 AT3G26580 AT1G06690 AT5G01500 AT2G30950 AT3G55330 AT3G47060 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT3G57680 AT2G44990 AT2G41330 AT5G03455 AT5G53170 AT2G29500 AT2G20260 AT1G03160
213	81	AT2G17630 AT3G10470 AT4G13670 AT5G20140 AT4G31560 AT5G52970 AT1G07510 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT2G26800 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT5G13120 AT2G43010 AT5G16660 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT3G60370 AT4G35770 AT3G58010 AT5G08540 AT4G19830 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT2G40100 AT4G39460 AT5G15250 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G17850 AT1G29920 AT2G35040 AT3G28850 AT1G72640 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G67700 AT1G67280 AT3G26580 AT1G06690 AT5G01500 AT2G30950 AT3G55330 AT3G47060 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT3G57680 AT2G44990 AT2G41330 AT5G03455 AT3G46780 AT1G55370 AT5G59250 AT1G15140 AT4G13010 AT2G24020 AT4G16155 AT1G51350 AT1G18730 AT1G50460 AT2G29500 AT2G20260 AT1G03160
214	82	AT2G17630 AT3G10470 AT4G13670 AT5G20140 AT4G31560 AT5G52970 AT1G07510 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT2G26800 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT5G13120 AT2G43010 AT5G16660 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT3G60370 AT4G35770 AT3G58010 AT5G08540 AT4G19830 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT2G40100 AT4G39460 AT5G15250 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G17850 AT1G29920 AT2G35040 AT3G28850 AT1G72640 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G67700 AT1G67280 AT3G26580 AT1G06690 AT5G01500 AT2G30950 AT3G55330 AT3G47060 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT3G57680 AT2G44990 AT2G41330 AT5G03455 AT3G46780 AT1G55370 AT5G59250 AT1G15140 AT4G13010 AT2G24020 AT4G16155 AT1G51350 AT1G18730 AT1G50460 AT3G21055 AT5G21430 AT1G22020 AT3G15110
215	2	AT4G28025 AT1G54780
216	2	AT5G42765 AT1G10170
217	3	AT4G27700 AT4G01050 AT1G14590
218	5	AT1G54500 AT5G21430 AT1G22020 AT3G21055 AT3G15110
219	6	AT1G03160 AT2G20260 AT2G29500 AT3G08920 AT5G53170 AT4G33010
220	6	AT2G22360 AT3G21055 AT5G21430 AT1G22020 AT3G15110 AT5G52440
221	15	AT5G52440 AT5G59250 AT1G15140 AT3G46780 AT1G55370 AT3G21055 AT4G16155 AT4G13010 AT2G24020 AT1G22020 AT5G21430 AT1G51350 AT1G18730 AT1G50460 AT3G15110
222	20	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G05385 AT4G01900 AT1G23740 AT1G79450 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT5G53490 AT1G54790 AT5G52780 AT5G23890 AT4G37925 AT4G24930
223	24	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G05385 AT4G01900 AT1G23740 AT1G79450 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT5G53490 AT1G54790 AT5G52780 AT5G23890 AT2G21160 AT1G78915 AT3G53560 AT5G62720 AT5G02160 AT2G37230
